id	sentences
ipv_33	बारम्बार बलात्कार गरी मृत्युदण्ड दिइन्छ ।
ipv_34	तिमी कुकुरको छोरो हौ ।
ipv_35	यसलाई झुन्ड्याउनु पर्छ, यो कुतियाको लागि ठुलो रुख खोज् जसले यसको तौल लिन सक्छ।
ipv_36	बकवासको टुक्रा, कुरूप मोटो कालो कुतिया।
ipv_37	तिमि मेरो बन्ने छौ र कसैको साथमा बस्ने सोचेउ भनेनी तिम्रो जिन्दगि बर्बाद गरिदिन्छु।
ipv_38	तैंले गर्दा आज मेरो दिन खराब भयो।
ipv_39	तेरो सबैको अगाडी बेइजत गर्दिन्छु।
ipv_40	साथीसँग बाहिर जाँदा टेक्स्ट गर्दै, ''तिमी कहाँ छौ?'' ''के गर्दैछौ?’’ ‘‘तिमी कोसँग छौ?’’ भन्दै नियन्त्रण गर्छन् |
ipv_41	उसले मेरो बैंकिङ मेलिङ परिवर्तन गरि आफ्नो ठेगाना राखेर मेरो गोपनियता पुर्णतय नियन्त्रण गर्यो |
ipv_42	उसले मेरो फोन हेरेर ''यो को हो ?'' भन्दै सिद्दै डीलिट थिच्यो |
ipv_43	जब म तिमीलाई कल गर्छु, तिमीले सधैँ उठाउनुपर्छ |
ipv_44	मैले मेरो पार्टनरका गतिविधिहरू ट्र्याक गर्न फोन एपहरू प्रयोग गरेको छु |
ipv_45	कस्तो इज्जत नभाको केटि रैछे यो त?
ipv_46	अरु मलाई केहि थाहा छैन, आफ्नो शरीर बेचेर हुन्छ कि पैसा जसरिनि लिएर आइज।
ipv_47	यो बोक्सीलाई त घर देखि लात हानेर निकाल्छु।
ipv_48	दिन भरि काहा थिस? यसको बानि त वेश्या भन्दा कम छैन ।
ipv_49	यो समाजको अगाडी तेरो बेइजत गर्दिन्छु।
ipv_50	मेरो जिन्दगी त यसले नर्क बनाएर छोड्ने भइ।
ipv_51	मेरो परिवारले ठुलो गल्ति गर्यो तँ सँग बिहे गराएर।
ipv_52	भनेको त मान्नेनै होइन। हात उठाउनु नपरोस तँलाई।
ipv_53	तँ सँग भन्दा त कुकुरसँग जिन्दगी राम्रो बित्छ।
ipv_54	तिमी कैलेनी अगाडी बढ्न सक्दैनौ। संधै पछाडी रहिरहने छौ।
ipv_55	तिमी एकदम निच छौ।
ipv_56	तपाईं सधैँ ढिलो हुनुहुन्छ, गलत हुनुहुन्छ, खराब हुनुहुन्छ, असहमत हुनुहुन्छ, र सधैँ यस्तै हो।
ipv_57	म के गर्छु, को संग बोल्छु यो सबै जान्नको लागि मेरो मोबाइल फोन हेर्ने गर्छ।
ipv_58	तेरो नग्न तस्बिर सार्वजनिक गर्दा पनि मलाई सन्तुष्टि मिल्दैन, त एक वास्तविक वेश्या हो ।
ipv_59	तेरो नग्न फोटोहरु पठाइनस् भने म तेरो जिन्दगी बर्बाद गर्दिन्छु |
ipv_60	त्यो बौलाहा हो |
ipv_61	मलाई पहिलेनै थाहा थियो यो केटि नराम्रो चरित्रको हो भन्नि |
ipv_62	यसरी निच स्वभाव देखाउने केटालाई, म नरपशु भन्छु |
ipv_63	तिमीलाई कसरी लेख्ने सिक्न आवश्यक छ |
ipv_64	तैंले आफ्नो अनुहार कहिले ऐनामा हेरेको छस् |
ipv_65	तँ जस्तो आइमाई देख्दा मेरो रगत उम्लिन्छ |
ipv_66	त्यति निच व्यहोरा भएको केटो, ट्विटरमा दामी कुरा गर्दो रहेछ, फेरी नयाँ मुर्गी फसाउन होला साला चुतिया |
ipv_67	गाउँ घरमा सिधासादा बन्ने, बाआमाको अगाडी सिधा बन्नेको कति निच हर्कत हुँदो रहेछ |
ipv_68	आफ्नै श्रीमती छंदा छदै अरु केटीसंग लाग्ने पुरुष निच हुन्, कुकुर हुन् |
ipv_69	म तिमीलाई निच अनि घटिया, सोचको केटि सोच्दछु |
ipv_70	कति निच सोच तिम्रो , आफ्नो हुनिबेलासम्म चरित्रवान अनि आफ्नो हुन छाडेपछि बेस्या !
ipv_71	यो केटि पनि बकवास रहीछे , कति तुच्छता र निच व्यहोरा हो |
ipv_72	तँ जस्तो निच र गिरेको मान्छे मैले आज सम्म देखेको थिइन |
ipv_73	तँ पशु भन्दा पनि निच हो, पशुले पनि आफुले यौन क्रिया गरेको पोथीलाई माया र रक्षा गर्छ |
ipv_74	तीघ्रा देखाउँदै फेसबुकमा फोटो हाल्छेस्, कहिँ नभएकी नकचरी !
ipv_75	तिमीलाई तिम्रो अनुहारले होइन बरु तिम्रो निच व्यहोराले तुलना गर्नु पर्छ |
ipv_76	कोइकोइले आफ्नो अस्लियत बल्ल देखाउन थाले |
ipv_77	तँ भन्दा बरु पशु बुद्धिमानी हुन्छन |
ipv_78	भरियो अब तेरो पापको भकारी |
ipv_79	मेरो बुढि पैसाको लागि यति निच गिर्छे भन्नि सोचेको थिइन |
ipv_80	लाज नभएकी नकचरी बेइज्जती, घर छोडेर गइस् |
ipv_81	मनपरुन्जेल कति राम्री परि भए, अहिले मन नपरेसि नकचरी |
ipv_82	साले गधा, तेरो औकात के छ ?
ipv_83	लाज मरेको नकचरी केटीको नाममा कलंक हो तँ |
ipv_84	कस्ती नकचरी कति केटा फेर्न सक्दिरहिछे |
ipv_85	तँ केटीको नाममा धब्बा हो, थुक्क, लाज नभएको नकचरी |
ipv_86	लाज पचेका नकचरी तिमि जस्ता हुन्छन्; भो केटि शब्दको बदनाम नगर !
ipv_87	साला भालु रहिछे |
ipv_88	गोरुको अनुहार परेको मान्छे होस् तँ |
ipv_89	तिमि त एक नामर्द रैछौ।
ipv_90	तिमि बुज्न सक्दैनौ, तिमि एकदम डम्प छौ।
ipv_91	तिमीले फेरी बिगारेउ। तिमीलाई त केहि काम पनि गर्न आउँदैन।
ipv_92	मेरो मतलब, तिमि आफुलाई हेर त, तिमीलाई कसले चाहन्छ।
ipv_93	मसँग हुनु भन्दा अगाडी तिमि केहि थिएनौ र म बिना त झन् केहि छैनौ।
ipv_94	मैले चिच्याउनु पर्छ किनकि तिमि धेरै अव्यावहारिक र बोधो दिमागको छौ।
ipv_95	यदी मसँग केहि लुकाउनु नै छैन भने तिमि मलाई आफ्नो मोबाइल फोन किन दिंदैनौ।
ipv_96	कस्तो बेबकुफ रैछे, रिस मात्र उठाउने।
ipv_97	तँलाई त केहि काम पनि गर्न आउँदैन, बेबकुफ !
ipv_98	थाहा छ तिमीले प्रयास गरेकी हौ तर यो तिम्रो दिमाग भन्दा बाहिरको कुरा हो।
ipv_99	अर्का घरका बुडाबुडी भनेसी कति माया गरेर बस्छन, मेरो बुडा त खत्तम रैछ।
ipv_100	कतै जानु परेको छैन, घरकै काम गरेर बस म नआउने बेला सम्म।
ipv_101	यो आइमाइले त गर्नु गरि, यस्लाई त डिभोर्स दिएरै छाड्छु।
ipv_102	तँ पनि बाँदर जस्तै रैछेस। आफ्नो घर पनि नबनाउने र अर्काको घर पनि बन्न नदिने |
ipv_103	एउटा 'क' नपढेको मान्छेलाई नि के सोध्नु।
ipv_104	ए औठाछाप आइमाई, तेरो सबैको अगाडी बेजत गर्नु पर्छ हो।
ipv_105	आफ्नो पनि बेइजत गर्दै हिन अनि मेरो पनि गर नाकच्चरी।
ipv_106	तँलाई जति खेरानी भनि राख्नु पर्छ हो पागल आइमाई।
ipv_107	मेरो समाजमा भएको इज्जत यसले फाल्ने भइ।
ipv_108	कस्तो इज्जत नै नभाको केटि संग बिहे गर्न पुगेछु।
ipv_109	मेरो बुढि छाडा भएर मेरो नाकै काटेर गई |
ipv_110	तेरो यस्तो चर्तिकला देख्नु पर्यो थुक्क !
ipv_111	फेसबुकको फोटोमा मात्र सुन्दर अनुहार रहेछ यसको, भित्रि रुपमा त चरित्रहीन रहिछे |
ipv_112	विवाह अगाडिनै कुमारीत्व गुमाएकी केटि चरित्रहीन हुन्छे |
ipv_113	तँ चरित्रहीन केटि होस् !
ipv_114	तँ जस्तो चरित्रहीन केटि यो संसारमै कोहि छैनन् होला ?
ipv_115	तँ दुनियासंग सुत्दै हिड्नी कल गर्ल होस् |
ipv_116	पैसामा बिकेकी कबाडी आइमाई !
ipv_117	तिमि कति निर्दयी रहेछौ, पैसामा बिकेकी केटि |
ipv_118	तेरो सबै नाटक हो, पैसामा बिकेकी छेस्, तेरो औकात के हो मलाई थाहा छ |
ipv_119	तेरो के छ औकात? कसको पैसामा बिकेको छेस ?
ipv_120	आफु शरीर बेचेर मोजमस्ती गर्नि, मेहनत गर्नेलाई पाखेको उपनाम दिहिस् तैले |
ipv_121	यस्तो मान्छे त कसैलाई नपरोस्, आफ्नै परिवारको बेइज्त गर्ने |
ipv_122	यो जस्तो बेवकुफ आइमाई मैले जीवनमा देखेको थिएन र उप्रान्त देख्नु पनि नपरोस् |
ipv_123	दिनै पिच्छे रंग फेर्ने, चटक देखाउने लाज पचेकी उरुन्ठाउलि !
ipv_124	लाज पचेकी नकचरीलाई घोप्टो पारेर माथीबाट ढुंगे छप्पनीले हिर्काएर ऐया ऐया बनाउनु पर्नी |
ipv_125	लाज पचेकी उतौली यो बेइजति !
ipv_126	यस्ती लाज पचेकी नकचरीलाई टुडिखेलमा राखेर, लात हान्न मन छ |
ipv_127	थुक्क ! लाज पचेकी तँलाई अलिकति पनि सरम लाग्दैन |
ipv_128	कति भुक्न सकेको यो लाज नभएको केटो, सबलाई खराब देख्नने पैला आफ्नो बेहोरा हेर |
ipv_129	कस्ती हुनु नि, लाज पचेकी नकचरी नि, कहा कि हुन्थी र, उतै तराई तिरकै हो !!
ipv_130	तँ मेरो नजरमा गिरिसकिस्, अब कहिले पहिलाको जस्तो हुदैन |
ipv_131	कसैलाई होच्याएर, गिराएर बोल्दैमा आफुलाई ठुलो सम्झिन्छौं भने तिमि भन्दा निच र गिरेको मान्छे संसारमा अरु कोहि हुदैनन् |
ipv_132	भीरबाट खसेको मान्छे बरु उठ्न सक्ला तर तँ मेरो नजरबाट गिरेको मान्छे होस् कहीले उठ्न सक्दिनस् |
ipv_133	तिमी मेरो नजरबाट गिरिसकेउ, अब तिमि मेरो लागि रुखबाट झरेको पात जस्तै हो |
ipv_134	तँ जस्तो उतौली केटि चै मैले पहिलो पटक देख्दैछु |
ipv_135	तिमि जस्तो गिरेको केटि बाच्न लायक छैनौ |
ipv_136	लाज लाग्दैन केटि भएर अलिकति लाज हुनुपर्छ नि.......छि : छि !
ipv_137	आज पनि तिमीले मेरो साथिहरुको अगाडी नाक काटेउ।
ipv_138	तँलाई त जति भनेनी हुँदैन, मान्छे भएपो बुझ्छ, जनावर हो तँ।
ipv_139	यो आइमाईलाइ त बानेर पिट्छु म।
ipv_140	तँ एक फोहोर बग्ने नाली होस्, तँ छिट्टै मर्नु पर्छ।
ipv_141	अर्काको जिन्दगि नर्क बनाउनु भन्दा त, बिस खाएर मर बरु।
ipv_142	तिमी मलाई आफ्नो मोबाइल फोन दिन्छौ कि खोस्नु पर्यो।
ipv_143	तिमी मलाई माया गर्दैनौ भने तिम्रो व्यक्तिगत जानकारीहरु सार्बजनिक गरिदिन्छु।
ipv_144	यो बोधो दिमाग भाको आइमाईलाई कति भन्नु पर्ने होला।
ipv_145	तिमी त एक नालाएकको बच्चा रहेछौ।
ipv_146	तँ संग त बिहे परिवारले गर्दा गरेको हो नत्र गर्ने थिएन।
ipv_147	कुकुर बिरालोझैँ झगडा गर्छे यो त।
ipv_148	कुन दिन मेरो बिग्रेको थियो र यो अलच्छिनासंग जिन्दगि बिताउनु परेको छ।
ipv_149	यो बोक्सी संग मैले किन बिहे गरेंहोला।
ipv_150	काम नलाग्ने बुडी रहेछ मेरो त।
ipv_151	तिमी त छोराको नाउमा कलंक हौ।
ipv_152	तँ कुतिया र बेस्या हो |
ipv_153	म तेरो जीवन र तेरो परिवारको लागि दु:ख र अस्वस्थताको कामना गर्छु |
ipv_154	आफ्नो अनुहारको घमण्ड नगर तँ कबाडी केटि होस्, फोहोरको थुप्रो |
ipv_155	केटि मान्छेको चरित्र त सुन्दर हुनुपर्छ, तँ त बेस्या रहीछेस |
ipv_156	तेरो लागि भनेर म खाडीमा पैसा कमाउने, तँ भने अर्कैसंग रमाउने नकचरी आइमाई |
ipv_157	आज म, भोलि अर्को, पर्सि अरुनै कोहि कति जना चै पुराउने सोच बनाएको छेस ए नकचरी |
ipv_158	बहुला, राक्षेस्नि, मेरो जिन्दगी बर्बाद पार्दिस् तैंले |
ipv_159	मुख समालेर बोल बेस्या भालु तेरो के बिगार्या छ ए रन्डी साली |
ipv_160	त त कबाडी नम्बर 1 रहिछेस |
ipv_161	यो भालु केटि एक नम्बरको कबाडी हो |
ipv_162	लाज, इज्जत र इमान्दारीता नभएको केटि रहिछेस तँ |
ipv_163	इज्जत नैतिकता नभएको, मान्छेलाई बेज्जतको के डर ?
ipv_164	लाज पचेकी आइमाई ! कति केटा फेर्छेस ए बेस्या |
ipv_165	मेरो घर व्यवहार सबै बिगार्देर गई त्यो बोक्सीलाई जिउंदै गाडीदिन्छु |
ipv_166	तँलाई म यति सम्म अत्याचार गर्ने छु कि तँ आफैले आत्महत्या गर्ने छेस्।
ipv_167	तँ यति सम्मको रैछ्स कि पैसा जता तँ तेतै |
ipv_168	रन्डीको छोरी, हेर्दै जा तेरो सामाजिक संजालमा कति सम्म बेजत गर्ने छु मैले भनेर।
ipv_169	भालु रैछ्स तँ जो संग नि बोलनी, मस्किनी, जिस्किनी।
ipv_170	थुक्क रन्डी, आफ्नो इज्जत आफै फाल्दै हिन।
ipv_171	तपाइँको बानि त खातेको भन्दा नि तल खसेको रैछ।
ipv_172	तिमि मलाइ ब्लक गर्ने प्रयास नगर, जब सम्म मसंग तिम्रो भिडियोहरु छन्, तिमीलाई तिम्रो भिडियो पोष्ट गरेर हानि गर्न सक्छु।
ipv_173	तिम्रो ति सबै नग्न तस्बिरहरु पोर्न साइटमा अड्रेस र नम्बर सहित हलिदिन्छु।
ipv_174	मेरो त जिन्दगि बर्बाद गर्दी यो काली, कलौटि, मकै भुट्ने हाडीले।
ipv_175	तँ बेस्याले आफ्नो जिन्दगि त बिगारिस बिगारिस, हाम्रो बच्चाहरुको नि बिगार्ने भइ।
ipv_176	तँ जस्तो गएगुज्रेको आइमाई त काही पनि देखेको छैन।
ipv_177	तिमीलाई त मैले पैसाको कारणले मात्र हेरेको हुँ नत्र त तिमि मेरो लाएककै छैनौ।
ipv_178	तैंले मेरो अनुमति बिना आफ्नो सामाजिक संजाल किन चलाएको?
ipv_179	मलाई केहि भन्नु छैन तँ जस्तो मुजी केटीलाई जो पैसाको पछी भाग्छे |
ipv_180	थुक्क ! मुजी केटि आफ्नो इज्जतको धज्जिया उडाइस् |
ipv_181	त्यो एक नम्बरको धोकेबाज र चालु केटि निक्ली |
ipv_182	मेरो बुढो जस्तो निकम्मा र बेवकुफ मान्छे कोहि छैनन् होला यो संसारमै |
ipv_183	हाम्रो तिर केटा घुमाउनि केटीलाई पातकी भन्छन बुझिस् नखर्मौली केटि |
ipv_184	तँलाई पातकी बुढा घरमा श्रीमती हुदाहुदै बाहिर केटि जिस्काउन लाज लाग्दैन |
ipv_185	आदि ब्रा देखाउँदै हिड्ने पातकी केटि तँलाई लाज पचेकी |
ipv_186	इज्जत नभएको खाते होस् तँ, आफ्नो छोराछोरी हुँदा नि केटि घुमाउँदै हिडछस् |
ipv_187	केटा देख्नै हुन्न तँलाई? लाज छैन अरुकेटासंग बोल्न लाज नभएकी आइमाई |
ipv_188	थुक्क ! पातकी केटि, केटा देखनै हुदैन तँलाई बोलि हाल्नु पर्छ |
ipv_189	पोइ हुँदाहुँदै अर्को पुरुष ताक्ने पातकी आइमाई कति केटा छानी छानी हिड्छेस |
ipv_190	तँ पहिला देखिनै पातकी बोका रहेछस बल्ल थाहा भयो |
ipv_191	तँ त केटि आकारको ढुङ्गो देखे नि पछयाउने बोको रहेछस् |
ipv_192	मान्छे होइनस् तँ बोको होस् !
ipv_193	तँ खत्तम केटि रहिछेस, तेरो क्यारेक्टर राम्रो छैन |
ipv_194	तँ जस्तो खत्तम भालुले गर्दा सबै केटीको नाम बदनाम भएको छ |
ipv_195	कुकुरलाई घीउ पच्दैन भन्थे हो रहेछ, जुन थालमा खाइस तेही थालमा थुकिस होइन |
ipv_196	कति नक्कल पार्छेस ए नखर्मौली कुन केटा भेट्न जान लागिस फेरी आज |
ipv_197	मलाई त फसाइस फसाइस अरुको छोराहरुलाई बिगार्दै नहिड ए नखर्मौली |
ipv_198	कुकुरलाई घीउ पच्दैन भनेको यही हो ! तँलाई मेरो माया पचेन नाखर्मौली |
ipv_199	तँलाई भन्नु बेकार छ, जति कुरा सम्झाए पनि बुझ्दिनस् तँ नखार्मौली |
ipv_200	तँलाई बोल्नी संस्कार पनि सिक्न आवश्यक छ |
ipv_201	नौटंकी साली एउटा हद हुन्छ नि ! तैले त सबै सिमाना तोडिसकिस् |
ipv_202	नौटंकी साली कति ड्रामा गर्दै हिड्छेस |
ipv_203	तँलाई कति प्रोफाइल पिक्चर फेर्नुपर्छ, धेरै नौटंकी देखाउनु पर्दैन |
ipv_204	टिकटक लाइवमा कति बस्छेस् ए नखर्मौली कुन चै संग बोलेर बस्छेस् |
ipv_205	तँ त दुई जिब्रे रहिछेस्, नकचरी ! माया मलाई गरेको जस्तो गरिस अनि शरीर अर्कोलाई सुम्पिस् |
ipv_206	तिमी त एक नामर्दको छोरो रैछौ ।
ipv_207	ओइ फोहोर सुँगुर आफुलाई कहिले ऐनामा हेरेको छस्? ना-ना थरिको मेसेज नगर।
ipv_208	बुडो तिमी त अविस्वासी कुकुर झैँ रैछौ।
ipv_209	तिमीले आफ्नो इज्जत त फालेउ फालेउ अब मेरो पनि फाल्नु।
ipv_210	दिन भरि कति कुकुर झैँ डुल्न भाको, छिटो घर आउनुस।
ipv_211	इमान्दार्पुर्बक भन्नु पर्दा तिमी जस्तो कुरूप व्यक्ति मैले मेरो जीवनमा देखेको छैन।
ipv_212	त्यो फोटो डीलिट गर छिट्टो। छोटो कपडा लगाइस भने तेरो सबै कपडा जलाइदिन्छु।
ipv_213	भालु बन्दै हिन, के थाहा पैसा कमाउँछस् कि ?
ipv_214	यति बुज, तेरो इज्जत दुई मिनेटमा खराब गर्न सक्छु।
ipv_215	तँ कुइएको आलु होस् र सबैलाई कुवाउँदै हिंद्छस।
ipv_216	मैले भनेको मानिनस भने तेरो फोन नम्बर र घरको अड्रेस सामाजीक संजालमा हलिदिन्छु।
ipv_217	साला जाठा, हेर्दै जा अब म क गर्छु भनेर। तेरो जिना हराम गर्ने छु।
ipv_218	तिमीले मैले भनेको मानेनौ भने तिम्रो बलात्कार गरि हत्या गर्ने छु।
ipv_219	कसैलाई पैसा खुवाएर तेरो हत्या गर्न लगाउछु।
ipv_220	कस्ती अलछिना आइमाई रैछे, मेरो पैसा फिर्ता दिनु पर्दैन।
ipv_221	खाते बानि नदेखा म संग, कति पैसा माग्न सकेको।
ipv_222	तँ रन्डीलाई जति भनेनी लाग्दैन, मैले तेस्लाई ब्लक गर भनेको होइन।
ipv_223	कति मेकअप गरेको तिमीले? छक्का जस्तो देखेको छौ तिमी।
ipv_224	तिमीले मेरो फोनको जी.पी.एस. सधै किन अन गर्दिन्छौ?
ipv_225	तँ त खत्तम केटो होस्, नाइ भन्दा नि के हात धोएर पछि लाग्छस् ए !
ipv_226	यो केटि त महा खत्तम स्त्रीको नाममा कलंक रहिछे |
ipv_227	केटीको जात नै खत्तम पैसाको लागि अरुको घर बिगार्न तल्लिन हुनी |
ipv_228	संसारकै सबैभन्दा खत्तम केटिसंग बिहे गरेछु मैले, तँ त खाली पैसा बाहेक अरु कुरै गर्दिनस |
ipv_229	तेरो फेसबुकमा अति धेरै साथीहरु रहेछन, त खत्तम केटि होस् |
ipv_230	तैंले मेरो प्रेम अस्विकार गरिस, अब पख् तेरो इज्जतको धज्जिया कसरी उदाउँछु म |
ipv_231	तँ स्त्रीको नाममा धब्बा हो |
ipv_232	बडी नबोल चुप लाग्, चटकी, खत्तम केटि |
ipv_233	अर्काको श्रीमतीसंग लाग्ने त खत्तम केटा हो |
ipv_234	तँ जस्तो खत्तम केटि देखेकै छैन, अलिकति डर त परिवारको नि हुनुपर्छ नि |
ipv_235	दुनिया भरको केटासंग च्याट गर्दि रहिछेस, खत्तम केटि जतिबेला नि अनलाईनमा हुनि |
ipv_236	तँ त खत्तम रहिछेस, जिउदै गाड्दिनु पर्ने |
ipv_237	झुट बोल्छेस तँ त काम नालाग्नी खत्तम केटा रैछ |
ipv_238	मैले भनेको मानिनस् भने हाम्रो गोप्य कुराहरुको अडियो लिक् गर्दिन्छु |
ipv_239	उनि एक नम्बरको धोकेबाज र चालु केटि निक्ली !
ipv_240	तँ जस्तो चालु केटीको त मुखमा थुके पनि थुक खेर जान्छ |
ipv_241	तँलाई सिपालु भनम् कि चालु, एउटा सम्बन्ध टुक्राउने बितिकै अर्कैसंग लपक्कै भैसकीस् |
ipv_242	तँ जस्तो छाडा त रेडलाइट एरियाको केटि पनि हुँदैनन् होला |
ipv_243	अब के नाटक बाँकी छ तेरो बेसरम अपाहिच केटि |
ipv_244	छि : छि बेसरम कस्तो लाज नभएकी केटि होस् तँ |
ipv_245	तँ इज्जत नभएकी पुंगी सानो थुतुनो ठुलो कुरा गर्छेस |
ipv_246	तँ त पनौती नै रैछेस, तैंले गर्दा मेरो कुनैपनि कुरा सफल हुँदैन |
ipv_247	तँ मर्न नसकेको हैजा कालले लग्छ तँलाई, धेरै कल गर्नी होइन मलाई |
ipv_248	तँ त भित्रभित्रै कुहिएको केटि रहिछेस |
ipv_249	प्रेमको नाममा केटि फेर्दै हिड्ने तँ मान्छेको नाममा कलंक होस् |
ipv_250	तँ धोकेबाज यो धर्तिको बोज हो |
ipv_251	ओइ चारवटा आखा भाको आइमाई, नराम्रो मेसेज नगर त मलाई।
ipv_252	तिमीलाई कस्तो महसुस हुन्छ, सबै भन्दा कुरूप थोपडा र बाँस झैँ पातली भएको मा?
ipv_253	तिमीले आफ्नो शरीर बेचेर भए पनि मलाई पैसा दिनु पर्छ।
ipv_254	यो संसारमा बाँच्नको लागि लाएकको छैनौ, तिमी आफै आत्महत्या गर्छौ कि अरु कोसैलाई भनि हत्या गर्न लगाउँ।
ipv_255	नक्कली माल सामान र तँ उस्तै हो दुइचार दिन राम्रोसँग चल्छ त्यस्पछी फाल्नै पर्नी गरेर बिग्रन्छ ।
ipv_256	टिकटकमा नक्कल गर्दै दशजनासँग गफ गरेर धेरै चटक देखाउनी होइन बुझिस् |
ipv_257	तँ त भुसिया कुकुर भन्दा नि गिरेको रहेछस् आखिर आफ्नो औकात देखाइस |
ipv_258	मैले बिदेशमा रगत र पसिना बगाएर कमाएको सम्पत्ति अरुसंग मोज मस्ती गर्दै हिड्ने, तँ महिला होइन बेस्या नकचरी आइमाई हो |
ipv_259	तँ गल्लिको भुसिया कुकुर झै भइस् धेरै छाडा भएर नहिड् |
ipv_260	मेरो बुढा भुसिया कुकुर भन्दा नि नालायक रहेछ | थुक्क !
ipv_261	भुसिया कुकुर सरह दिनभर डुल्छस् तँ नालायक केहि काम नलाग्नी चुतिया होस् तँ |
ipv_262	भुक्न त सिपालु छस् त अरु केहि गर्न आउदैन |
ipv_263	तेरो इज्जत मेरो हातमा छ, भुसिया कुकुर जसरी नभोक्दा राम्रो होला |
ipv_264	मेरो बुढा र भुसिया कुकुर उस्तै हुन् काम काज केहि छैन जतिबेला नि भुकेको छ भुकेको छ |
ipv_265	इज्जत नभएको केटि धेरै रमिता देखाउँदै नहिड |
ipv_266	तँलाई रमिता नै देखाउनी भए रत्नपार्कमा गएर देखा, फेसबुकतिर धेरै नक्कल पार्दै फोटो हाल्नु पर्दैन |
ipv_267	दुनियालाई रमिता देखाउदै फेरी एकपटक मलाई रुवाएर अर्कैसंग गइस् निष्ठुरी |
ipv_268	तँ त खुब रमिता देखाउँदै हिड्छेस् रे त आज भोलि |
ipv_269	कुच्चेको डेक्ची जस्तो थोपडा भएकी तँ धेरै चुरीफुरी नदेखा |
ipv_270	न रुप छ, न रंग छ, न बोल्ने ढंग छ, न सफा मन छ, तैपनि कति चुरीफुरी देखाउछेस ए रन्डी |
ipv_271	तेरो काम भनेको लुगा धुनी, खाना बनाउनी, भाडा मझ्नि हो, धेरै सामाजिक संजालमा आएर चुरीफुरी गर्ने होइन |
ipv_272	तेरो खुब चुरीफुरी छ त आजकल कुन बज्यासंग चक्कर चल्दै छ |
