text,abuse,sexual_content_score
पशुपति मा पोल्ने ठाउँ छैन रे भर्स्तचारि लाई मृत्‍युडाँडा दिए मा हजु तेसै ले अजीवन कैद गरे हुन्छ हजुर बाँकी मुजी सरकार नै भरस्तचारी रहेछ कस् ले हल्ने जैल यो सरकार को १ जन नरहने गरी खरेज गरी देश् बाट लखेते हुन्छ समपती सबै जाम गरे हुन्छ ।,1,1.0
यसै दशकमा मदनपुरस्कार पाएका कृतिहरु ०६८ सेतो धरती – अमर न्यौपाने ०६९ दमिनी भीर – राजन मुकारुङ ०७० खलङ्गामा हमला – राधा पौडेल ०७१ खुसी – विजय कुमार पाण्डे ०७२ ऐना – रामलाल जोशी ०७३ धृतराष्ट्र – घनश्याम कँडेल ०७४ योगमाया – नीलम कार्की “ निहारिका “ |,0,0.0
"बनाउन त मैले बिजुली रेल , रकेट बनाउन सक्थे नि तर अहिले मुड छैन मेराे |",0,0.0
यदी कालो जातिको मान्छेले तलाई बलात्कार गर्यो भने यो धेरै हास्यास्पद हुनेछ। त एक कुरूप महिला हो। ।,1,5.0
संघी चरित्र |,0,0.0
"Fore yeserday , चस्माको सिसा फुट्दा त बलात्कार भएन , तपाईँलाई बढी बोल्ने |",1,4.0
आजभोली यस्तो गर्नुलाई नि बलात्कार भन्छ्न ?,1,4.0
तिम्रो मृत्यु पश्चात चै किन त्यो कहानी लेख्नु ? बर्बाद जवानीको किताब तिमीले चै परेन देख्नु ?,1,1.0
चोर फटाहा हत्यारा सबै मिलाएर ७ - ८ हजार छन् क्यार |,1,1.0
झुन्डिएर बस्ने सधै भएकाले होलान् |,0,0.0
मकेअप त राम्रो गर्दिरैछौ तर तिमि राम्रो छैनौ |,0,0.0
म तिमीलाई कोठा भाडामा दिन सक्दिन। मेरो बुदी आमा मसंग बस्नु हुन्छ र उहा तल्लो जातिसंग घर बढ्न सक्नु हुन्न |,1,1.0
मलाई पनि काेहि कसैले बलतकार गरिदियहुन्थाेनि जिन्दगीमा |,1,5.0
"आफू जलेर नष्ट भई अरुलाई जलाउनु त्यति उचित होइन महोदय , |",0,0.0
यदि रबिदाई लाई केही भयो भने साले नेपाल को चोर नेत k p ओलि लाई सिधाईदिने हो र नया सम्बिब्धान लिउने हो नेपाल को नेता हरु चोर छ सबै ।,1,1.0
अन्धालाइ थाह नभएपनि गुप्तांग देखाउदै हिडे उस्को बदनाम हुन्न र ? कि अन्धोको इज्जत हुन्न र् |,1,10.0
यदि पल शाहले बलात्कार गरेका हैनन भने नाबालिकाको कन्या जाली कस्ले च्यातियो . ? सरकार पत्ता लगाउन पर्यो |,1,10.0
बिध्यादेबि साले रण्डि को छोरी पोईमारा पसुपति ले तेरो छिटै अन्त्य गरून् अरु को इज्जत गर्न आउदैन रैच ।,1,1.0
केटो हो कसैलाई नराम्रो सोच्दैन टासिन नगय घोच्दैन बुज जनता हो |,0,0.0
. गतिछाडा कति ठाडै ढाट्न सकेको |,1,1.0
हार्दिक श्रद्धान्जली इनि 5 जना लाई . . इनिहरुले नर्गमा बास होस। ।,1,1.0
"भन्छन नारिहरु भनेका समाज परिबर्तनका बाहक हुन , अब यसै गरि पारदर्शि कपडा लगाउदै हिड्ने हो भने के को परिबर्तन , कुन दिन घर न घाटको हुन्छन् , घरमा बिहान खायो बेलुकी के खाने भन्ने निश्चित नभएकाहरुले हो यस्तो चरित्र देखाउने , सबै नारिहरु छैनन नराम्रा तर मुठ्ठिभरका छन् यस्ता ! जय नारी | ऐले त सप्पै काटिहालेँ पलाउदै मात्र छ बर्खामा त बाच्छ त्यस्तो नि ल्याइहेर्छु बचाउनु भएन भने मार्दिन्छु |",1,5.0
नेपालीको सबैभन्दा गलत बानी अरुले के गर्‍यो भनी अँखा तर्दै कुरा कार्दै हिड्ने |,0,0.0
"एकजना आक्रोशित व्यक्तिले पेस्तोल ताक्दै भने - म तलाईं मार्दिन्छु। गोड्सेले जवाफ दिए - यो धेरै खुशीको कुरा हो , तर तपाईंलाई पेस्तोल चलाउने ज्ञान छ जस्तो मलाई लाग्दैन।",1,1.0
त जोकर अझै येही छस्। ।,1,1.0
मै आएर मार्दिन्छु बरु पख |,1,1.0
"काङ्रेस र माउवादी त एकै भएछन् , कुकुर बिरालो जस्तो दुस्मनी त तिम्रो र मेरो मात्र भो प्रिय |",1,1.0
तँ को होस् चिक्नी जाठिनी . . . . ?,1,8.0
"यो गोकुले चुतिया र खतरनाक छ , , , यस लाई राउन्ड किक हानेर नाँक को डाँडी भाँचिदिनुपर्छ ।",1,1.0
यो राण र यो राण लैजाने त्यो हरिलठक लाई आगो लगाउनु पर्छ मट्टितेल खन्याएर |,1,1.0
मैले तलाई देख्नु अघि मेरो दिन राम्रो थियो |,0,0.0
शोषण र शासन नै आजको व्यवस्थाको मूल चरित्र हो |,0,0.0
यस आइमाइ लाइ ला . . . . . पुगेन डल्ले खोर्सानी हाल्नु पर्ने यार |,1,9.0
बुडाले के बाेले बुझनै गाह्राे भयाे कुन भाषा हाे |,0,0.0
फ्रि फायर गेममार्फत चिनजान गरी नाबालिका बलात्कार गर्ने चन्द्रागिरी नगरपालिका - ८ मातातीर्थ​ बस्ने २७ वर्षका महेश उदास पक्राउ परेका छन्। ।,0,0.0
राणि का छोरा हरु जाबो गल्त समाचार सम्प्रेषण प्रकासित गर्ने पुत्रकार लाई सम्मान गर्नु पर्ने अझै ?,1,1.0
"No justice , No piece |",0,0.0
प्वाल स्वाहा । यस्ता त छन सेलिब्रेटी पब्लिक फिगर भनिने |,1,10.0
यो मुला canada nepal chanel का थियो जब चितवन मा आन्दोलन तथा विभिन्न कुरा भयो लाज छैन है अहिले रबि दाई निस्कने बेला चै अनुवार देखाइराछ हुत्तिहारा ।,1,1.0
मेरो नाम झिलमिल हो |,0,0.0
अब मम्मी ले छाडा भिडियो बनाइ यसको बिहे गर्दिन्छु भनेर चार गाउँ सुनिने गरि कराइसिन्छ होला |,0,0.0
कुकुर बाल |,0,0.0
एस्तो लाई पनि रिएल हिरो रे न body छ न के नै छ ! म इनि हरु लाई हिरो हिरोईन भन्न पनि लाज लाग्छ ! !,0,0.0
सानु तिमी र म भेटम न ल |,0,0.0
ताइ न तुई का कुरा गर्ने manxe कहा बाट आउँछन् के |,0,0.0
४० जति USAID कै मतियारले क्वाप्प गर्दिहाल्छ स्याल बहादुरहरुले ३० जति चपकाईहाल्छ २ जति NGO INGO ले भ्याईहाल्छ बाकी ८ सरकारी लेखाशाखा यता उता गर्दा रहलपहल २ - ३ जति काम गरे जस्तो देखाउने हो ठेकदार त जिउदै छन झिरिप्प गर्न लाई जे होस उपत्यकामा ५० - १०० नया घर बन्ने प्रबल संभावना छ |,0,0.0
आफै डिल गर्दै हिड्छेस मलाई दोस लास्टमा |,0,0.0
यसभन्दा पहिले पनि त तिमी भाते हरु नै अालोपालो सत्ता मा थियौ नि पाजी हरु ।,1,1.0
पुन्य गौतम ग्यानेन्द्र साहि को घटना मा नेकपा लाई आरोप लागे को भय रण्डि को बान किन तेरो पुलिस ले समाउदैन ।,1,1.0
के तँ आफुलाई महान ठान्छेस ?,0,0.0
इटहरी का मेयर ले भ्रष्टाचारी का संरक्षक पक्षपोषक भतुवा पत्रकार हरु लाई लोपारिदिन्छु भन्दा चै कानुन हात मा लिए को हुने ?,1,1.0
पल नि छुट्नी भएचन। नाबालिका गाइका लाई उचालेर मुद्दा हाल्न लगाउने लाई किरा परुस। एक नायक लाई फसाउछु भनेर लाग्दै गर्दा अर्कि गाइका लाई यसरी चरित्र हत्या गर्ने गरि फसाउनु राम्रो होइन। ।,1,1.0
मुख मा थप्पड हान्न पर्नी पत्रकार रैछ खाते ।,1,1.0
तलाई राम्रा सध्ये केटा नि चाहिने रोज्ने बेलामा बोका रोजेर सबैलाई गाली गत्दै किन हिड्छेस जाठिं |,1,1.0
"सात पाप , - सिद्धांत विहीन राजनीति श्रम विहीन सम्पत्ति विवेक विहीन भोग विलास चरित्र विहीन शिक्षा नैतिकता विहीन व्यपार मानवीयता विहीन विज्ञान त्याग विहीन पूजा |",0,0.0
पुरुषको काम चैं अर्काको घर भाँड्ने मात्र हो ? पुरुषले आवारागिरी मात्रै गर्छन् ?,1,1.0
मलाई काममा distrub गर्नी होइन है |,0,0.0
humanity matters नि त . . अन्याय भा'को ले न्याय पाउनैपर्छ। ।,0,0.0
तैले आफ्नो घाटी काट सबैलाई खुसि पार्न लाइभ आएर। यसले अमेरिकाको मनोबल बढाउने छ।,1,1.0
खाली दिमाग अनेकौं सोच्छन जिउने सरल तरिका खोज्छन मान्छेहरु ! व्यापार पनि अचम्मको गर्छन् अचेल ज्यानको मूल्य स्वयंले तोक्छन मान्छेहरू ! आफ्नो चिता आफै जलाउनु छ जलाउदा पनि पापी भन्दै घोच्छन मान्छेहरु ! अनिता कुमारी |,1,1.0
कस् कस्को हात समाएर हिड्छेस् हो |,0,0.0
गर्नु गरि सकेउ अब झगडा गरेर काम छैना ठुलो फ्यान भन्दैमा गर्ना दिएपछि के को बिबाद गरिहालछनि मुख थुनेर हात बाधेर खुट्टा बाधेरत पकै जबर्जस्ति गरेन होला त |,0,0.0
लुम्बिनी प्रदेशमा एक वर्षमा ४११ वटा बलात्कार घटना |,0,0.0
मेरो बुढासंग सुतेर हिड्छेस भन्दै दुइ महिला बाटो बाटो झगडा गरे पछी भिडीयो सहित .,0,0.0
अचेल त सङै हिहेको देखे नि त्यो सङ्ग किन हिड्छेस बिग्रेको केटाहरु ले तलाइ नि बिगार्न सक्छन रे यस्तो रे बन्धु |,0,0.0
बोल्नै मिल्दै न भ ने किन आय को त रन्डी को छोरो त पुलिस जे सोदे पनि बोल्नै मिल्दै न भन छ यार अनि मेरो लाडो गर्न आय को मुजि ।,1,1.0
पल समिक्षा जस्तो घटनाले बलात्कार जस्तो जघन्य अपराधलाई प्रसय दिन्छ |,0,0.0
"त्यही युद्वको बलमा एउटि दमिनी सिडियो भएको , निजामती सेवामा २४ प्रतिशत महिला भएको दलित जनजाती नीति निर्माण गर्ने ठाउमा पुगेको पनि छ । यसको अर्थ यो पनि होइन कि युद्ध सबै ठिक थियो ।",0,0.0
पुरुष भनेर ठाडो शिर बनाएर हिड्नु नि गार्हो |,0,0.0
यो सब सरकार र प्रशासनको कमजोरी हो। ।,0,0.0
थुक्क नकचरी आइमाई त्यो अर्काको बुढि लाने कुकुरलाई भाटाले हान्नु पर्छ |,1,1.0
मट्काले चिया बेच्न छाडेर अर्काको घर भाँड्ने भो जितीने लोभमा अब के के लेख्ने हुन् टुईटेहरुले |,1,1.0
"म बिचलित भए। म रोहि रहेको थिए , म निराश थिए। ।",0,0.0
"चोर हरु गल्ती स्विकार्नु त कहाँ हो कहाँ एक ले पहिले का लाई दोस लगाउदै जाने , स्साला भ्रष्ट हरुलाइ लाजै छैन ।",1,1.0
~ गजल जलाउ भित्ताका तस्विर हरू कहानी सकिन्छ आउने हरूले देख्दैनन तिम्रो परेशानी सकिन्छ जाने बेलामा राम्ररी बस है भनेर नभन्नु तिमि गएकै पल बाट मेरो जिन्दगानी सकिन्छ छिमेकीले जे बोलुन शिर हल्लाई रहने गर्नु नत्र भोलि बाट सुन सकिन्छ पानी सकिन्छ |,0,0.0
महिला स्वतन्त्रता र छाडापनको पराकाष्टा |,0,0.0
नक्कली रहिछ यो आइमाई |,1,1.0
आफु ले गरे चमत्कार अरु ले गरे बलात्कार hello चौथो लिंगि हरु ?,1,5.0
प्रजातन्त्रको उपमा भएको पार्टिले प्रजातन्त्रकै जगेर्ना गर्नुपर्थ्यो। कम्युिनिष्ट चरित्र वरण गर्न हुँदैनथ्यो। हरियोबाट लाल भयो। ।,0,0.0
बलात्कार मुद्दामा किशोरीलाई कैद सजाय सुनाएका न्यायाधीश सर्वोच्च तानिए |,0,0.0
बिहे गर्छु भन्ने बितिक्क उत्तानो पर्दिने यो कस्तो सस्कार हो त्यो समाज घर मुलि आमा बुवा एकोहोरो मात्रै ताली बज्दैन दोहोर हात लाउन पर्छ हजुर अहिले को अवस्था हेर्ने हो भने पुरुष भन्दा महिला केटिहरु उत्ताउली देखिन्छन् आफू सहि ठाउँमा उभिनु पर्छ |,1,1.0
आईमाई लाई पैसाले पूरन कसैले पनि सक्दैन र सुख दुख सहनु पर्छ ।,0,0.0
Derai dukha ani shocked vaye moh tw |,1,1.0
पल सहलाई फसाउँन सकिनछे। अब यो चरित्रहिन केटीले कस्लाई फसाउँने हो फेरी। ।,1,1.0
अब तोडफोड गरेर समस्या समाधान हुँदैन। ।,0,0.0
बिहान हिड्दादौडिंदा दिक्क लगाउनेहरु १ . ढल बहादुर इन्जिनियरसाप २ . हर्न बहुला ३ . भुस्या कुकुर ४ . चुरोटे |,1,1.0
ओ मिश्र जि तपाई नि यिनै सुड्डा हरुलाइ गाली गरेर मात्रै आफ्नो राजनितिक रोटि सेक्ने दाउ मा हुनुन्छ कि के हो ? यी गति छाडा ले जे सुकै गरून् तपाईं आफ्नो पार्टी र संघसंगठन बिस्तार मा लाग्नुस न यिनै लाई सरापेर मात्रै बस्ने हो भने त झन यिन्कै बिज्ञापन हो हुन्छ झन कुरो बुझ्या खै क्या ?,1,1.0
५ बर्ष सम्म कुकुर बिरालाे जसरी पैठाजाेरी खेलिरहे अब चुनाव आएपछि गठबन्धन रे तिम्लाई डाकुहरु हाे। यत्रैपनि जान्न भाेट हाल्न। ।,1,1.0
बोलिमा परिपक्वता भयेन नि ! ! : |,0,0.0
यस्तो खुरापाती आइडिया मेरो दिमागमा कहिले फुर्ला बे |,0,0.0
good गाईका को यहि हुनु पर्ने |,0,0.0
यिनले घर भाँड्ने भए सुड्डीहरूको |,1,1.0
म तलाई तल नल्याई छाड्दिन। ।,1,1.0
पहिला देखिनै रंगिन दुनियाँमा कमगर्नेहरु अस्तो हुन्छ भन्नेसुन्थे र अजा आएरा समिछ्याले छर्लङ्ग पारिदियो बिचरा समिछ्या ।,0,0.0
गति छाड़ा आइमाई थक्क |,1,1.0
जेसुकै भए पनि जोसुकै भए पनि कारबाही हुनुपर्छ ।,0,0.0
त्यसो चै नभने भा हुने यिन्ले त छाडा छाडा फोटो बनाम्चन |,0,0.0
यो टुविबाट सुरु भएको महाशयको मिसन परिबार चरित्र हुँदै फोटो सम्म पुगेको छ !,0,0.0
सोम प्रसाद पाण्डे को चाहीं गर्धन भाचीने गरी हान्नु पर्ने सर्बहारा बर्ग को नेतृत्व गर्ने हरू खरब पती भैसके अझ तेस्तो छैन भंछन यो भंदा हास्यास्पद अरु के होला ?,1,1.0
मेरो मृत्यु पश्चात तिमी एक काहानी लेख्नु त्यस किताबको नाम बर्बाद जवानी लेख्नु। ।,0,0.0
"बिहे गर्ने झुट्टो आश्वासन दिएर मज्जा लिएछ बजियाले , अभिनय कला राम्रै रहेछ हुन त रियल हिरो पो रे त !",0,0.0
ति आयोग समिति यात घुस खान्छन यात अर को दिन समतिनै भग हुन्छ ई नेता लाई त टुडेखेल मा लगेर गोलि हानु परछ ।,1,1.0
कुकर नी तलाई ताह तियान मरो गल्ती को परिणम के हुनछ भनिर |,1,1.0
